web-scraper-order,web-scraper-start-url,player,player-href,self-win,r-top,r-top-href,r-jungle,r-jungle-href,r-mid,r-mid-href,r-bot,r-bot-href,r-sup,r-sup-href,b-top,b-top-href,b-jungle,b-jungle-href,b-mid,b-mid-href,b-bot,b-bot-href,b-sup,b-sup-href,self-champ,self-champ-href
1662435989-1453,https://na.op.gg/leaderboards/champions?region=na,iikk5,https://na.op.gg/summoners/na/iikk5,Victory,,,,,,,,,,,,,,,,,,,,,16,https://na.op.gg/champions/malphite
1662435422-1270,https://na.op.gg/leaderboards/champions?region=na,RealVengeance,https://na.op.gg/summoners/na/RealVengeance,Defeat,18,https://na.op.gg/champions/mordekaiser,16,https://na.op.gg/champions/qiyana,17,https://na.op.gg/champions/taliyah,17,https://na.op.gg/champions/sivir,14,https://na.op.gg/champions/pyke,15,https://na.op.gg/champions/camille,16,https://na.op.gg/champions/belveth,,,13,https://na.op.gg/champions/samira,13,https://na.op.gg/champions/xerath,14,https://na.op.gg/champions/sylas
1662437252-1744,https://na.op.gg/leaderboards/champions?region=na,1oo8,https://na.op.gg/summoners/na/1oo8,Defeat,13,https://na.op.gg/champions/lucian,14,https://na.op.gg/champions/draven,14,https://na.op.gg/champions/janna,15,https://na.op.gg/champions/karma,13,https://na.op.gg/champions/rumble,,,13,https://na.op.gg/champions/ornn,12,https://na.op.gg/champions/samira,13,https://na.op.gg/champions/caitlyn,12,https://na.op.gg/champions/kayle,13,https://na.op.gg/champions/kayn
1662436466-1509,https://na.op.gg/leaderboards/champions?region=na,RANGED TOP LANER,https://na.op.gg/summoners/na/RANGED%20TOP%20LANER,Defeat,,,,,,,,,,,,,,,,,,,,,18,https://na.op.gg/champions/quinn
1662435842-1418,https://na.op.gg/leaderboards/champions?region=na,Servant of Saber,https://na.op.gg/summoners/na/Servant%20of%20Saber,Defeat,15,https://na.op.gg/champions/malphite,14,https://na.op.gg/champions/qiyana,15,https://na.op.gg/champions/swain,15,https://na.op.gg/champions/tristana,13,https://na.op.gg/champions/zyra,14,https://na.op.gg/champions/jax,,,14,https://na.op.gg/champions/sylas,13,https://na.op.gg/champions/zeri,13,https://na.op.gg/champions/lulu,13,https://na.op.gg/champions/talon
1662435989-1450,https://na.op.gg/leaderboards/champions?region=na,iikk5,https://na.op.gg/summoners/na/iikk5,Defeat,18,https://na.op.gg/champions/darius,18,https://na.op.gg/champions/khazix,18,https://na.op.gg/champions/vladimir,16,https://na.op.gg/champions/samira,16,https://na.op.gg/champions/leona,16,https://na.op.gg/champions/gragas,,,17,https://na.op.gg/champions/xerath,15,https://na.op.gg/champions/jhin,13,https://na.op.gg/champions/braum,17,https://na.op.gg/champions/talon
1662436831-1605,https://na.op.gg/leaderboards/champions?region=na,Goät,https://na.op.gg/summoners/na/Go%C3%A4t,Victory,,,,,,,,,,,,,,,,,,,,,15,https://na.op.gg/champions/evelynn
1662435989-1460,https://na.op.gg/leaderboards/champions?region=na,iikk5,https://na.op.gg/summoners/na/iikk5,Victory,16,https://na.op.gg/champions/teemo,,,14,https://na.op.gg/champions/qiyana,14,https://na.op.gg/champions/caitlyn,14,https://na.op.gg/champions/rell,15,https://na.op.gg/champions/yone,14,https://na.op.gg/champions/kindred,16,https://na.op.gg/champions/twistedfate,14,https://na.op.gg/champions/jhin,12,https://na.op.gg/champions/thresh,17,https://na.op.gg/champions/talon
1662436466-1513,https://na.op.gg/leaderboards/champions?region=na,RANGED TOP LANER,https://na.op.gg/summoners/na/RANGED%20TOP%20LANER,Defeat,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/quinn
1662437539-1802,https://na.op.gg/leaderboards/champions?region=na,Dime,https://na.op.gg/summoners/na/Dime,Defeat,15,https://na.op.gg/champions/lillia,16,https://na.op.gg/champions/kindred,17,https://na.op.gg/champions/yone,15,https://na.op.gg/champions/aphelios,13,https://na.op.gg/champions/lulu,16,https://na.op.gg/champions/azir,,,14,https://na.op.gg/champions/fizz,13,https://na.op.gg/champions/sivir,12,https://na.op.gg/champions/rakan,16,https://na.op.gg/champions/trundle
